brand,color,current_price,namex,original_price,stock_status,url
IKU,Purple,4240,"IKU X8 4GB Ram, 64GB - Starlight Purple",5000,In stock,https://dream2000.com/en/iku-x8-4gb-ram-64gb-starlight-purple.html
IKU,Twilight Blue,4240,"IKU X8 4GB Ram, 64GB - Twilight Blue",5000,In stock,https://dream2000.com/en/iku-x8-4gb-ram-64gb-twilight-blue.html
Honor,Cyan Lake,5999,"Honor X6A 4GB RAM, 128GB - Cyan Lake",7100,In stock,https://dream2000.com/en/honor-x6a-4gb-ram-128gb-cyan-lake.html
Xiaomi,Green,4499,"Xiaomi Redmi A3 3GB, 64GB - Forest Green",5300,In stock,https://dream2000.com/en/xiaomi-redmi-a3-3gb-64gb-forest-green.html
Xiaomi,Black,4999,"Xiaomi Redmi A3 4GB, 128GB - Midnight Black",5900,In stock,https://dream2000.com/en/xiaomi-redmi-a3-4gb-128gb-midnight-black.html
Xiaomi,Blue,4499,"Xiaomi Redmi A3 3GB, 64GB - Star Blue",5300,In stock,https://dream2000.com/en/xiaomi-redmi-a3-3gb-64gb-star-blue.html
Honor,Midnight Black,12699,"Honor X8b 8GB RAM, 512GB - Midnight Black",14900,In stock,https://dream2000.com/en/honor-x8b-8gb-ram-512gb-midnight-black.html
Infinix,Green,4666,"Infinix Smart 8 X6525 4GB RAM, 64GB - Crystal Green",5500,In stock,https://dream2000.com/en/infinix-smart-8-x6525-4gb-ram-64gb-crystal-green.html
Infinix,Black,4666,"Infinix Smart 8 X6525 4GB RAM, 64GB - Timber Black",5500,In stock,https://dream2000.com/en/infinix-smart-8-x6525-4gb-ram-64gb-timber-black.html
Oppo,Black,15999,"Oppo Reno 8 5G 8GB Ram, 256GB - Shimmer Black",18800,In stock,https://dream2000.com/en/oppo-reno-8-5g-8gb-ram-256gb-shimmer-black.html
itel,Blue,4555,ITEL S23 4G - 4GB RAM - 128GB - Sky Blue,5400,In stock,https://dream2000.com/en/itel-s23-4g-4gb-ram-128gb-sky-blue.html
itel,Black,4555,ITEL S23 4G - 4GB RAM - 128GB - Starry Black,5400,In stock,https://dream2000.com/en/itel-s23-4g-4gb-ram-128gb-starry-black.html
